cliente;cpf_cnpj;uf;porte_do_cliente;natureza_do_cliente;setor_cnae;data_da_contratacao;valor_desembolsado_reais;juros;prazo_amortizacao_meses;situacao_da_operacao
ROMI S.A.;**.*20.428/0001-**; MG;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2002-07-23;40537,0;6,0;33;LIQUIDADA
J MOREIRA C A LTDA;**.*37.724/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2014-07-10;108000,0;6,0;45;LIQUIDADA
AGRICOPEL COMERCIO DE DERIVADOS DE PETROLEO LTDA;**.*32.093/0001-**; SC;GRANDE;PRIVADA;COMERCIO E SERVICOS;2011-09-16;168000,0;3,1;54;LIQUIDADA
M. C. BERTOLINO & CIA LTDA - ME;**.*14.378/0001-**; AL;MICRO;PRIVADA;COMERCIO E SERVICOS;2010-05-05;24056,0;8,16;21;LIQUIDADA
ANTONY CORDEIRO CONFECCOES EIRELI;**.*58.311/0001-**; PR;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2014-03-22;6000,0;2,0;60;LIQUIDADA
AGUIA ASSISTENCIA AUTOMOTIVA 24 HS LTDA;**.*23.047/0001-**; ES;MICRO;PRIVADA;COMERCIO E SERVICOS;2009-10-26;93000,0;7,0;57;LIQUIDADA
COPAX INDUSTRIAL LTDA;**.*47.179/0001-**; SP;PEQUENA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2008-10-23;115600,0;3,9;24;LIQUIDADA
BOM DIA COMERCIAL DE ALIMENTOS E LOGISTICA LTDA;**.*14.412/0001-**; PR;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2011-11-22;19015,0;5,5;54;LIQUIDADA
SANTORI COMERCIO, IMPORTACAO E EXPORTACAO DE ALIMENTOS;**.*44.044/0001-**; MT;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2020-05-28;405000,0;11,54;54;LIQUIDADA
FEIJAOZINHO ESCAVACOES E TERRAPLANAGEM LTDA;**.*48.846/0001-**; DF;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2008-10-21;408000,0;4,1;57;LIQUIDADA
DEMOP PARTICIPACOES LTDA;**.*89.580/0001-**; SP;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2007-06-11;1029600,0;2,95;48;LIQUIDADA
TRANSPATRIOTA TRANSPORTES DE CARGAS E LOGISTICA LTDA;**.*49.889/0001-**; PR;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2024-09-04;10000,0;1,44;36;ATIVA
GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS;**.*41.490/0001-**; RO;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2013-11-19;204300,0;3,5;54;LIQUIDADA
MAICON JORGE MOREIRA LEITE;**.*51.333/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2023-01-24;42000,0;19,03;42;ATIVA
TUPAN GASES LTDA ME;**.*31.306/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2012-12-04;67000,0;2,5;57;LIQUIDADA
PLASDIL PLASTICOS DIVINOPOLIS LTDA EM RECUPERACAO JUDIC;**.*57.541/0001-**; MG;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2010-10-14;80000,0;5,5;96;LIQUIDADA
VOTORANTIM METAIS S.A.;**.*99.616/0001-**; GO;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2003-10-31;1813500,0;3,0;48;LIQUIDADA
R. CHIARAMONTE - EPP;**.*49.257/0001-**; PR;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2017-02-16;48600,0;9,6;33;LIQUIDADA
VIACAO ESTRELA S/A;**.*75.747/0001-**; RJ;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2008-07-16;1596000,0;6,4;36;LIQUIDADA
EDI CARLOS STADLER 02843792983;**.*16.808/0001-**; PR;MICRO;PRIVADA;COMERCIO E SERVICOS;2025-04-11;5000,0;20,0;56;LIQUIDADA
TRANSITO LIVRE TRANSPORTES E TURISMO LTDA;**.*11.549/0001-**; DF;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2019-02-04;883200,0;5,48;57;LIQUIDADA
CONSORCIO PAVOTEC-OURIVIO-TEJOFRAN-FUAD RASSI-SOBRADO;**.*62.980/0001-**; GO;GRANDE;PRIVADA;COMERCIO E SERVICOS;2011-09-26;43600,0;5,5;42;LIQUIDADA
JAIME SCHLICKMANN TRANSPORTES;**.*05.185/0001-**; PR;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2024-12-06;20000,0;4,43;141;ATIVA
BRUNING TECNOMETAL LTDA;**.*73.164/0001-**; RS;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2007-11-21;297000,0;1,7;48;LIQUIDADA
REDE GLOBAL TECNOLOGIA LTDA;**.*60.852/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2018-05-11;100000,0;8,61;57;LIQUIDADA
A W S MATERIAIS PARA CONSTRU AO LTDA;**.*32.167/0001-**; GO;MICRO;PRIVADA;COMERCIO E SERVICOS;2002-10-29;102600,0;6,0;24;LIQUIDADA
SEPAC SERRADOS E PASTA DE CELULOSE LTDA;**.*55.720/0001-**; PR;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2009-11-25;906008,0;4,5;54;LIQUIDADA
AGROPECUARIA CARBONI LTDA                    (02941262);**.*41.262/0001-**; SC;GRANDE;PRIVADA;AGROPECUÁRIA E PESCA;2014-08-08;646485,0;6,0;96;LIQUIDADA
J. GRESPIN LTDA;**.*79.749/0001-**; MT;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2026-06-19;80000,0;21,69;57;ATIVA
IVETEPAVANELLO ME;**.*26.714/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2016-01-04;48017,0;5,3;54;LIQUIDADA
BANCO DO BRASIL SA;**.*00.000/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2006-07-26;5000,0;8,75;60;LIQUIDADA
BSJ MARMORES E GRANITOS LTDA;**.*20.606/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2009-07-17;25800,0;8,4;57;LIQUIDADA
VIGILATO MADEIRAS EIRELI;**.*93.556/0001-**; RO;MICRO;PRIVADA;COMERCIO E SERVICOS;2021-05-11;7000,0;9,58;60;LIQUIDADA
BANCO COOPERATIVO SICREDI S.A.;**.*81.521/0001-**; RS;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2003-10-28;4895,0;4,0;48;LIQUIDADA
FERNAO DIAS LOGISTICA LTDA;**.*70.984/0001-**; MG;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2017-09-06;220000,0;6,1;30;LIQUIDADA
EXTRACAI INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;**.*70.185/0001-**; PR;PEQUENA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2020-07-22;73252,0;17,07;25;ATIVA
REVAL ATACADO DE PAPELARIA LTDA;**.*34.156/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2026-06-18;;12,15;30;ATIVA
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA;**.*01.771/0001-**; PR;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2007-01-05;1500,0;3,0;60;LIQUIDADA
TRANS PITA LTDA;**.*51.795/0001-**; PE;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2010-06-09;148500,0;7,0;30;LIQUIDADA
GLOG LOGISTICA, EXPORTACAO E IMPORTACAO LTDA.;**.*24.132/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2009-10-29;576320,0;7,0;90;LIQUIDADA
CASA MATTOS LTDA;**.*25.302/0001-**; MG;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2010-10-05;132100,0;8,0;57;LIQUIDADA
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;**.*16.560/0001-**; PR;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2006-06-06;8300,0;3,0;48;LIQUIDADA
GILNEI IVAN FRUHLING;**.*97.931/0001-**; RS;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2023-04-18;80000,0;4,19;36;LIQUIDADA
EDUILSON DE ALMEIDA MOTA;**.*73.170/0001-**; SE;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2007-06-12;115000,0;4,0;36;LIQUIDADA
LA CASA D ROMA PRODUTOS COLONIAIS E CASEIROS LTDA;**.*15.342/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2010-12-27;216000,0;8,0;57;LIQUIDADA
ZANERATTO E REGODANSO COMERCIO DE ALIMENTOS LTDA  ME;**.*43.791/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-07-20;22650,0;4,9;57;LIQUIDADA
VALFERRACO COMERCIO DE FERRAGENS E FERRAMENTAS EIRELI -;**.*41.794/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2012-12-17;120000,0;2,5;48;LIQUIDADA
F. M. B. SABOIA - ME;**.*80.277/0001-**; MA;MICRO;PRIVADA;COMERCIO E SERVICOS;2007-03-20;326043,0;7,0;48;LIQUIDADA
NUTRI 100 AGRO LTDA;**.*18.381/0001-**; PR;GRANDE;PRIVADA;COMERCIO E SERVICOS;2008-07-07;426000,0;4,4;48;LIQUIDADA
PROTEGE  PROTECAO E TRANSPORTE DE VALORES LTDA;**.*35.146/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2005-04-28;120000,0;5,15;48;LIQUIDADA
ABASTEC DE COMBUST GLOBAL POSTOS DE SERVICOS LTDA;**.*60.534/0001-**; RS;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2013-10-08;171034,0;3,0;108;LIQUIDADA
MADEMONTES COMERCIO E TRANSPORTES LTDA.;**.*02.111/0001-**; MG;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2018-03-15;46778,0;12,16;21;LIQUIDADA
EMPREITEIRA BALDIN LTDA;**.*14.915/0001-**; PR;MICRO;PRIVADA;COMERCIO E SERVICOS;2010-11-11;225420,0;8,0;90;LIQUIDADA
W S MADEIRAS LTDA;**.*15.898/0001-**; MT;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2007-01-18;73200,0;5,0;48;LIQUIDADA
ESCAD RENTAL LOCADORA DE EQUIPAMENTOS PARA TERRAPLENAGE;**.*12.535/0001-**; SP;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2011-06-17;34560,0;6,5;54;LIQUIDADA
DA ROSA TUR TRANSPORTES LTDA;**.*48.921/0001-**; SC;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2024-08-08;625000,0;4,34;82;ATIVA
F V DE ARAUJO S A MADS AGRIC IND E COM;**.*44.300/0001-**; PR;MÉDIA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2010-03-30;52000,0;4,5;96;LIQUIDADA
TRANSPORTES PESADOS MINAS S.A.;**.*15.039/0001-**; MG;GRANDE;PRIVADA;COMERCIO E SERVICOS;2012-10-10;4860000,0;2,5;33;LIQUIDADA
ANTONIO CAETANO DA SILVA CONFECCOES - ME;**.*47.934/0001-**; CE;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2012-05-02;108000,0;7,7;57;LIQUIDADA
MARCELO CATTO MAT. DE CONSTRUCAO LTDA;**.*93.029/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2012-12-19;110195,0;2,5;66;LIQUIDADA
APARECIDO FRANCISCO DA SILVA & CIA LTDA;**.*30.352/0001-**; MT;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-06-22;133600,0;10,0;57;LIQUIDADA
ZILDA DA P. CARVALHO;**.*69.667/0001-**; MT;MICRO;PRIVADA;COMERCIO E SERVICOS;2018-05-17;40000,0;12,67;9;LIQUIDADA
DM TRANSPORTES LTDA.;**.*64.232/0001-**; MS;MICRO;PRIVADA;COMERCIO E SERVICOS;2009-05-20;95000,0;3,9;45;LIQUIDADA
MTD TRANSPORTES LTDA;**.*14.247/0001-**; RJ;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2010-07-02;712600,0;7,0;36;LIQUIDADA
HUVISPAN INDUSTRIA E COMERCIO DE FIOS LTDA;**.*10.004/0001-**; SC;MÉDIA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2010-10-14;135310,0;5,5;33;LIQUIDADA
CONSTRUTORA ATERPA S/A.;**.*62.983/0001-**; MS;GRANDE;PRIVADA;COMERCIO E SERVICOS;2026-06-11;;12,21;18;ATIVA
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;**.*16.560/0001-**; RS;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2006-11-21;4200,0;3,0;60;LIQUIDADA
FAGUNDES CONSTRUCAO E MINERACAO S/A;**.*72.337/0001-**; RS;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2002-12-06;549104,0;5,5;36;LIQUIDADA
MOEMA BIOENERGIA S.A;**.*72.326/0001-**; SP;GRANDE;PRIVADA;AGROPECUÁRIA E PESCA;2004-10-05;260000,0;12,75;54;LIQUIDADA
TRANSPORTES D.J.B. LTDA;**.*76.824/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2010-03-11;25000,0;4,5;57;LIQUIDADA
AMADEU MOVEIS LTDA ME;**.*01.045/0001-**; MG;MICRO;PRIVADA;COMERCIO E SERVICOS;2008-12-17;11500,0;5,4;60;LIQUIDADA
TIGRAO TRANSPORTES LTDA-ME;**.*29.023/0001-**; MT;MICRO;PRIVADA;COMERCIO E SERVICOS;2004-05-06;164000,0;5,5;21;LIQUIDADA
JOTINHA COMERCIO VAREJISTA DE MOVEIS LTDA;**.*38.037/0001-**; MG;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2026-05-18;215000,0;23,65;33;ATIVA
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S/A;**.*45.829/0001-**; ES;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2007-09-03;18000,0;2,0;60;LIQUIDADA
MARLI FUSIGER BERWIAN - ME;**.*40.604/0001-**; RS;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2013-08-14;88500,0;3,5;60;LIQUIDADA
NOVA ALIANCA DISTRIBUIDORA LTDA;**.*31.738/0001-**; SC;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2010-09-14;166500,0;8,0;57;LIQUIDADA
ILZA FRANCISCA DE SOUZA OLIVEIRA- ME;**.*33.535/0001-**; MT;MICRO;PRIVADA;COMERCIO E SERVICOS;2013-05-06;335037,0;3,0;57;LIQUIDADA
BANCO BRADESCO S.A.;**.*46.948/0001-**; GO;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2007-12-20;100000,0;6,75;60;LIQUIDADA
U.S.A. - USINA SANTO ANGELO LTDA;**.*37.471/0001-**; MG;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2013-11-08;94500,0;3,5;96;LIQUIDADA
SAMBA FRUTAS TROPICAIS LTDA;**.*48.650/0001-**; MG;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2008-11-10;187200,0;3,7;60;LIQUIDADA
AGUAS DO PARAIBA SA;**.*80.003/0001-**; RJ;GRANDE;PRIVADA;COMERCIO E SERVICOS;2013-07-11;13056,0;3,5;36;LIQUIDADA
ROMI S.A.;**.*20.428/0001-**; MG;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2004-10-08;118261,0;4,0;33;LIQUIDADA
BANCO DO ESTADO DO RIO GRANDE DO SUL SA;**.*02.067/0001-**; RS;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2008-01-02;4645,0;2,0;60;LIQUIDADA
TRANSPORTADORA J. F. CAMPOS LTDA;**.*84.494/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2012-10-04;148500,0;2,5;57;LIQUIDADA
DONADELI & DONADELI LTDA ME;**.*12.523/0001-**; PR;MICRO;PRIVADA;COMERCIO E SERVICOS;2009-05-25;78400,0;4,51;57;LIQUIDADA
JSL S.A.;**.*48.435/0001-**; PA;GRANDE;PRIVADA;COMERCIO E SERVICOS;2022-10-24;791300,0;2,0;36;ATIVA
MAX RHEINHEIMER CARDOSO;**.*02.630/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2013-06-25;36000,0;3,0;57;LIQUIDADA
BANCO DO BRASIL SA;**.*00.000/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2004-11-19;1750,0;8,75;60;LIQUIDADA
SERRA INDUSTRIAL LTDA ME;**.*45.977/0001-**; ES;PEQUENA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2003-08-14;92250,0;2,3;36;LIQUIDADA
A.M.SOUZA LTDA;**.*10.992/0001-**; AC;MICRO;PRIVADA;COMERCIO E SERVICOS;2013-03-28;328500,0;3,0;57;LIQUIDADA
MULTIPLA ENGENHARIA INDUSTRIA E COMERCIO LTAD;**.*24.117/0001-**; PI;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2009-09-29;585000,0;4,5;54;LIQUIDADA
USINA TERMO ELETRICA IOLANDO LEITE LTDA;**.*41.800/0001-**; SE;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2012-01-26;16480,0;10,0;90;LIQUIDADA
CERRADINHO BIOENERGIA S.A.;**.*22.396/0001-**; GO;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2015-08-24;440006,0;5,4;60;LIQUIDADA
TRANSMASUT TRANSPORTES LTDA;**.*81.221/0001-**; GO;GRANDE;PRIVADA;COMERCIO E SERVICOS;2014-06-17;164000,0;6,0;57;LIQUIDADA
SCUSSEL E SABINO TRANSPORTES RODOVIARIOS LTDA ME;**.*12.159/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2013-06-28;375000,0;3,0;114;LIQUIDADA
TIAGO COM. DE FRUTAS LTDA;**.*90.272/0001-**; PA;MICRO;PRIVADA;COMERCIO E SERVICOS;2014-08-22;178750,0;6,0;57;LIQUIDADA
POWERMATIC INDUSTRIA E COMERCIO DE DUTOS, MAQUINAS, PEC;**.*64.374/0001-**; SP;PEQUENA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2017-03-30;595000,0;13,0;48;LIQUIDADA
SANTOS OLIVEIRA TRANSPORTES E LOGIST LTDA EPP;**.*05.445/0001-**; BA;MICRO;PRIVADA;COMERCIO E SERVICOS;2013-05-27;88524,0;3,0;57;LIQUIDADA
GOIANIA POSTES E TORRES PARA TELECOMUNICACAO E ELETRIFI;**.*14.741/0001-**; GO;PEQUENA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2021-03-19;175000,0;17,55;42;LIQUIDADA
PEREIRA ZARANTONELO MOVEIS DECOR LTDA;**.*31.412/0001-**; PR;MICRO;PRIVADA;COMERCIO E SERVICOS;2024-11-25;30000,0;16,7;119;ATIVA
CERAMICA CURUA UNA LTDA ME;**.*52.308/0001-**; PA;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2015-07-10;165900,0;9,5;57;LIQUIDADA
CIA LATINO AMERICANA DE MEDICAMENTOS;**.*83.481/0001-**; SC;GRANDE;PRIVADA;COMERCIO E SERVICOS;2007-01-23;13000,0;4,3;30;LIQUIDADA
SUL CARTONAGEM LTDA.;**.*65.899/0001-**; RS;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2010-12-13;186000,0;8,0;57;LIQUIDADA
DOUGLAS AIRTON LOPES DE CAMARGO TRANSPORTES ME;**.*57.832/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2009-11-23;217000,0;4,5;45;LIQUIDADA
E P DE MORAIS SUPERMERCADO -EPP;**.*65.346/0001-**; MT;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2016-12-21;100000,0;13,0;18;LIQUIDADA
S P PRODUTOS LTDA;**.*79.028/0001-**; ES;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2014-10-13;236000,0;6,0;54;LIQUIDADA
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA;**.*01.771/0001-**; PR;GRANDE;PRIVADA;AGROPECUÁRIA E PESCA;2012-08-31;775861,0;3,0;11;LIQUIDADA
CONCRETIZE INDUSTRIA DE ARTEFATOS DE CIMENTO LTDA;**.*68.421/0001-**; RS;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2022-02-18;30000,0;5,05;33;LIQUIDADA
PETROTAN COMERCIO E RECICLAGEM DE EMBALAGENS LTDA;**.*08.699/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2009-02-16;34000,0;5,4;60;LIQUIDADA
JSL S.A.;**.*48.435/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2008-06-25;325000,0;2,77;48;LIQUIDADA
USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS;**.*94.730/0001-**; MG;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2007-10-15;406577,0;1,0;6;LIQUIDADA
BANCO DO BRASIL SA;**.*00.000/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2005-06-20;5000,0;8,75;36;LIQUIDADA
NADIRO DE JESUS SANTOS ME;**.*50.662/0001-**; AM;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2012-06-22;61040,0;5,9;57;LIQUIDADA
NUTRITEC SUPRIMENTOS AGROPECUARIOS LTDA;**.*55.370/0001-**; RS;MÉDIA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2022-11-23;2450000,0;2,65;57;ATIVA
SOVI PERSONALIZADOS LTDA;**.*22.340/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2026-06-16;41400,0;21,8;36;ATIVA
MINERACAO FAZENDA DOS BORGES LTDA;**.*40.857/0001-**; MG;MÉDIA;PRIVADA;INDUSTRIA EXTRATIVA;2009-10-26;715000,0;4,5;33;LIQUIDADA
BREHM COMERCIO E TRANSPORTES LTDA;**.*97.137/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-12-23;157344,0;10,0;54;LIQUIDADA
ELISANGELA DE FATIMA FERNANDES CAMARGO TRANSPORTES;**.*87.046/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-09-05;77700,0;4,1;57;LIQUIDADA
KOBER E KOBER LTDA;**.*10.316/0001-**; PR;MICRO;PRIVADA;COMERCIO E SERVICOS;2010-11-22;208000,0;8,0;45;LIQUIDADA
BELPLAS INDUSTRIA E COMERCIO DE PLASTICOS LTDA;**.*06.259/0001-**; SP;MICRO;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2012-12-24;160000,0;3,8;33;LIQUIDADA
POAVIAS PAVIMENTACAO LTDA;**.*56.918/0001-**; SP;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2024-05-14;358200,0;8,93;57;LIQUIDADA
AZEVEDO MOURA PIZZARIA LTDA - ME;**.*94.431/0001-**; RJ;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-04-11;41938,0;5,5;96;LIQUIDADA
EMPA S/A SERVICOS DE ENGENHARIA;**.*59.856/0001-**; MG;GRANDE;PRIVADA;COMERCIO E SERVICOS;2009-11-19;481600,0;7,0;30;LIQUIDADA
AGROTERENAS CITRUS LTDA;**.*23.467/0001-**; SP;GRANDE;PRIVADA;AGROPECUÁRIA E PESCA;2010-02-18;26000,0;6,0;54;LIQUIDADA
EGIDIO PIGOZZO;**.*60.468/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2008-07-11;30000,0;4,46;48;LIQUIDADA
MONTE VERDE CONSTRUCOES E INCORPORACOES LTDA;**.*11.819/0001-**; RS;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2012-04-09;94050,0;6,5;69;LIQUIDADA
BANCO DO BRASIL SA;**.*00.000/0001-**; RS;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2004-06-30;12000,0;8,75;48;LIQUIDADA
RAPIDO MAXEXPRESS LTDA;**.*40.711/0001-**; SP;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2013-10-22;670000,0;4,0;54;LIQUIDADA
BRASLAB PRODUTOS OTICOS LTDA;**.*11.163/0001-**; SP;PEQUENA;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2013-11-26;205000,0;3,5;57;LIQUIDADA
COMERCIAL SILVA FERNANDES LTDA;**.*76.676/0001-**; MG;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2013-11-06;174000,0;4,0;57;LIQUIDADA
CAMBUCI S/A;**.*88.894/0001-**; PB;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2012-08-15;104400,0;5,5;48;LIQUIDADA
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA;**.*01.771/0001-**; PR;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2009-04-17;5085,0;1,0;60;LIQUIDADA
COMERCIAL LOGISTICA E TRANSPORTE DE CARGAS LTDA;**.*78.535/0001-**; RJ;MICRO;PRIVADA;COMERCIO E SERVICOS;2014-06-30;110700,0;6,0;57;LIQUIDADA
MARIA LUIZA TARGAS MAGANETE - EPP;**.*27.529/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-01-05;350000,0;8,0;57;LIQUIDADA
BANCO COOPERATIVO SICREDI S.A.;**.*81.521/0001-**; RS;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2008-05-16;200000,0;6,75;78;LIQUIDADA
TRANSPORTES SANTA CLARA LTDA;**.*61.113/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2003-02-17;31150,0;6,0;36;LIQUIDADA
NJF INDUSTRIA E COMERCIO LTDA;**.*18.453/0001-**; DF;GRANDE;PRIVADA;COMERCIO E SERVICOS;2017-09-22;78000,0;5,1;45;LIQUIDADA
MOREIRA & CIA LTDA;**.*30.974/0001-**; PB;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-09-26;22000,0;7,47;24;LIQUIDADA
TRANSPORTADORA MENDES AGUAI LTDA;**.*84.337/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2010-10-01;181000,0;4,5;54;LIQUIDADA
TRANSPORTES KOZESKI LTDA ME;**.*76.362/0001-**; TO;MICRO;PRIVADA;COMERCIO E SERVICOS;2012-01-17;55820,0;5,9;57;LIQUIDADA
HEDI LTDA;**.*26.607/0001-**; SC;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2024-05-14;150000,0;21,8;36;ATIVA
BANCO DO BRASIL SA;**.*00.000/0001-**; SC;MICRO;PRIVADA;COMERCIO E SERVICOS;2005-06-28;9000,0;8,75;60;LIQUIDADA
DELTASUL UTILIDADES LTDA;**.*02.924/0001-**; RS;GRANDE;PRIVADA;COMERCIO E SERVICOS;2011-08-23;62370,0;10,0;33;LIQUIDADA
FRUTAS ZANCHETA LTDA - ME;**.*55.296/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2014-12-08;18400,0;6,0;57;LIQUIDADA
CHICO MILOTA REFLORESTAMENTO LTDA ME;**.*66.918/0001-**; GO;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2008-10-21;630000,0;4,4;54;LIQUIDADA
BANCO COOPERATIVO SICREDI S.A.;**.*81.521/0001-**; RS;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2009-10-06;69429,0;2,0;96;LIQUIDADA
